Precinct,CrimeName,CrimeCount
14,OFFENSES AGAINST THE PERSON,6
14,ROBBERY,14
14,SEX CRIMES,17
17,ASSAULT 3 AND RELATED OFFENSES,43
17,FELONY ASSAULT,8
17,HARRASSMENT 2,24
17,ROBBERY,1
17,SEX CRIMES,20
18,ARSON,1
18,ASSAULT 3 AND RELATED OFFENSES,70
18,BURGLARY,1
18,DANGEROUS WEAPONS,2
18,FELONY ASSAULT,20
18,HARRASSMENT 2,50
18,MISCELLANEOUS PENAL LAW,3
18,OFF. AGNST PUB ORD SENSBLTY AND,7
18,OFFENSES AGAINST THE PERSON,3
18,ROBBERY,15
18,SEX CRIMES,14
19,ASSAULT 3 AND RELATED OFFENSES,4
19,FELONY ASSAULT,8
19,HARRASSMENT 2,7
19,MISCELLANEOUS PENAL LAW,1
19,OFF. AGNST PUB ORD SENSBLTY AND,2
19,OFFENSES AGAINST THE PERSON,5
19,ROBBERY,8
19,SEX CRIMES,14
20,ASSAULT 3 AND RELATED OFFENSES,28
20,BURGLARY,2
20,FELONY ASSAULT,5
20,HARRASSMENT 2,21
20,OFF. AGNST PUB ORD SENSBLTY AND,2
20,ROBBERY,2
20,SEX CRIMES,6
23,ASSAULT 3 AND RELATED OFFENSES,6
23,FELONY ASSAULT,4
23,HARRASSMENT 2,3
23,OFF. AGNST PUB ORD SENSBLTY AND,1
23,ROBBERY,1
23,SEX CRIMES,2
24,ASSAULT 3 AND RELATED OFFENSES,1
24,DANGEROUS WEAPONS,1
24,DISORDERLY CONDUCT,1
24,FELONY ASSAULT,2
24,HARRASSMENT 2,4
24,MISCELLANEOUS PENAL LAW,2
24,OFF. AGNST PUB ORD SENSBLTY AND,2
24,ROBBERY,9
24,SEX CRIMES,5
25,ASSAULT 3 AND RELATED OFFENSES,27
25,DISORDERLY CONDUCT,1
25,FELONY ASSAULT,7
25,HARRASSMENT 2,23
25,OFFENSES AGAINST THE PERSON,3
25,ROBBERY,1
25,SEX CRIMES,7
26,ASSAULT 3 AND RELATED OFFENSES,35
26,FELONY ASSAULT,9
26,HARRASSMENT 2,18
26,MISCELLANEOUS PENAL LAW,2
26,OFF. AGNST PUB ORD SENSBLTY AND,3
26,OFFENSES AGAINST THE PERSON,1
26,RAPE,1
26,ROBBERY,3
26,SEX CRIMES,7
28,ARSON,1
28,ASSAULT 3 AND RELATED OFFENSES,19
28,FELONY ASSAULT,7
28,HARRASSMENT 2,19
28,OFF. AGNST PUB ORD SENSBLTY AND,1
28,OFFENSES AGAINST THE PERSON,2
28,ROBBERY,3
28,SEX CRIMES,6
30,ASSAULT 3 AND RELATED OFFENSES,21
30,DISORDERLY CONDUCT,1
30,FELONY ASSAULT,10
30,HARRASSMENT 2,20
30,OFF. AGNST PUB ORD SENSBLTY AND,3
30,ROBBERY,5
30,SEX CRIMES,2
32,ASSAULT 3 AND RELATED OFFENSES,7
32,FELONY ASSAULT,5
32,HARRASSMENT 2,15
32,MISCELLANEOUS PENAL LAW,2
32,OFF. AGNST PUB ORD SENSBLTY AND,2
32,ROBBERY,2
32,SEX CRIMES,1
33,ASSAULT 3 AND RELATED OFFENSES,21
33,FELONY ASSAULT,7
33,HARRASSMENT 2,8
33,MISCELLANEOUS PENAL LAW,2
33,MURDER AND NON-NEGL. MANSLAUGHTE,1
33,OFF. AGNST PUB ORD SENSBLTY AND,3
33,OFFENSES AGAINST THE PERSON,2
33,ROBBERY,5
33,SEX CRIMES,2
34,ASSAULT 3 AND RELATED OFFENSES,16
34,FELONY ASSAULT,9
34,HARRASSMENT 2,9
34,MISCELLANEOUS PENAL LAW,1
34,OFF. AGNST PUB ORD SENSBLTY AND,6
34,ROBBERY,9
34,SEX CRIMES,1
40,ASSAULT 3 AND RELATED OFFENSES,46
40,BURGLARY,1
40,DANGEROUS WEAPONS,1
40,DISORDERLY CONDUCT,1
40,FELONY ASSAULT,14
40,HARRASSMENT 2,10
