origin_station_complex_name,day_of_week,hour_of_day,avg(sum_estimated_average_ridership)
103 St (1),Sunday,20,193.99203333333335
103 St (1),Sunday,21,139.65505833333336
103 St (1),Sunday,22,121.15814166666668
103 St (1),Sunday,23,70.71680833333333
103 St (1),Thursday,0,31.423091666666664
103 St (1),Thursday,1,8.754333333333333
103 St (1),Thursday,2,6.665133333333333
103 St (1),Thursday,3,7.054475
103 St (1),Thursday,4,20.200758333333336
103 St (1),Thursday,5,62.40086666666667
103 St (1),Thursday,6,188.81956666666667
103 St (1),Thursday,7,624.8779916666668
103 St (1),Thursday,8,1091.5036333333333
103 St (1),Thursday,9,756.5268833333333
103 St (1),Thursday,10,514.1868666666667
103 St (1),Thursday,11,443.1933833333333
103 St (1),Thursday,12,446.024375
103 St (1),Thursday,13,476.78619166666664
103 St (1),Thursday,14,472.7047916666667
103 St (1),Thursday,15,555.1617166666666
103 St (1),Thursday,16,592.567375
103 St (1),Thursday,17,669.7719499999998
103 St (1),Thursday,18,632.3581833333334
103 St (1),Thursday,19,426.072025
103 St (1),Thursday,20,366.29932499999995
103 St (1),Thursday,21,222.60446666666664
103 St (1),Thursday,22,159.68949166666667
103 St (1),Thursday,23,89.51270833333332
103 St (1),Tuesday,0,30.270858333333333
103 St (1),Tuesday,1,8.662716666666666
103 St (1),Tuesday,2,7.895916666666667
103 St (1),Tuesday,3,6.654258333333335
103 St (1),Tuesday,4,17.638941666666668
103 St (1),Tuesday,5,63.19304166666666
103 St (1),Tuesday,6,192.21453333333332
103 St (1),Tuesday,7,623.6755666666667
103 St (1),Tuesday,8,1159.7572750000002
103 St (1),Tuesday,9,764.0785416666666
103 St (1),Tuesday,10,510.04524166666664
103 St (1),Tuesday,11,433.44529166666666
103 St (1),Tuesday,12,432.75857500000006
103 St (1),Tuesday,13,472.83830000000006
103 St (1),Tuesday,14,458.4763
103 St (1),Tuesday,15,552.17
103 St (1),Tuesday,16,596.6190666666668
103 St (1),Tuesday,17,655.6298666666667
103 St (1),Tuesday,18,594.7615583333334
103 St (1),Tuesday,19,388.93127499999997
103 St (1),Tuesday,20,330.39954166666666
103 St (1),Tuesday,21,200.40526666666665
103 St (1),Tuesday,22,131.7886583333333
103 St (1),Tuesday,23,67.2274
103 St (1),Wednesday,0,28.680691666666664
103 St (1),Wednesday,1,7.937799999999999
103 St (1),Wednesday,2,7.229241666666667
103 St (1),Wednesday,3,6.862375
103 St (1),Wednesday,4,18.067333333333334
103 St (1),Wednesday,5,61.765366666666665
103 St (1),Wednesday,6,187.5758583333333
103 St (1),Wednesday,7,633.6375750000001
103 St (1),Wednesday,8,1160.4434583333334
103 St (1),Wednesday,9,789.5565333333334
103 St (1),Wednesday,10,520.5073333333333
103 St (1),Wednesday,11,452.5961333333333
103 St (1),Wednesday,12,460.46830833333325
103 St (1),Wednesday,13,486.38090000000005
103 St (1),Wednesday,14,464.508
103 St (1),Wednesday,15,562.4232083333333
103 St (1),Wednesday,16,606.7588833333333
103 St (1),Wednesday,17,678.5977833333334
103 St (1),Wednesday,18,611.3147333333333
103 St (1),Wednesday,19,397.13910000000004
103 St (1),Wednesday,20,352.46802499999995
103 St (1),Wednesday,21,206.92954166666672
103 St (1),Wednesday,22,145.65661666666668
103 St (1),Wednesday,23,80.36990000000002
103 St (6),Friday,0,22.26670833333333
103 St (6),Friday,1,11.054208333333333
103 St (6),Friday,2,11.099616666666668
103 St (6),Friday,3,11.792366666666668
103 St (6),Friday,4,30.134491666666666
103 St (6),Friday,5,95.00327500000002
103 St (6),Friday,6,245.81382499999995
103 St (6),Friday,7,581.0932666666666
103 St (6),Friday,8,650.4153916666667
103 St (6),Friday,9,408.3267416666667
103 St (6),Friday,10,336.4118583333333
103 St (6),Friday,11,333.6121166666667
103 St (6),Friday,12,364.9674166666667
