station,month,avg_ridership
"116 St (2,3)",3,453.9683261904762
"116 St (2,3)",4,428.87488690476187
"116 St (2,3)",5,468.89214880952386
"116 St (2,3)",6,444.472031547619
"116 St (2,3)",7,375.31278214285715
"116 St (2,3)",8,386.19859999999994
"116 St (2,3)",9,456.06610833333343
"116 St (2,3)",10,503.20227261904756
"116 St (2,3)",11,522.856807142857
"116 St (2,3)",12,480.93858095238113
116 St (6),1,552.7199434523811
116 St (6),2,606.9973321428572
116 St (6),3,644.2788547619049
116 St (6),4,637.1365160714286
116 St (6),5,684.3015380952381
116 St (6),6,668.4870607142859
116 St (6),7,514.8955547619048
116 St (6),8,518.0873238095236
116 St (6),9,644.8199994047617
116 St (6),10,677.238655357143
116 St (6),11,647.2483363095241
116 St (6),12,588.3320273809522
"116 St (C,B)",1,329.05576130952386
"116 St (C,B)",2,329.8806392857143
"116 St (C,B)",3,340.83965059523814
"116 St (C,B)",4,323.89022559523806
"116 St (C,B)",5,330.7283970238095
"116 St (C,B)",6,344.38881488095234
"116 St (C,B)",7,291.4973595238095
"116 St (C,B)",8,292.4627571428571
"116 St (C,B)",9,361.45030297619036
"116 St (C,B)",10,371.19918928571417
"116 St (C,B)",11,305.08021547619046
"116 St (C,B)",12,348.1409547619048
116 St-Columbia University (1),1,658.5075261904764
116 St-Columbia University (1),2,942.2971244047619
116 St-Columbia University (1),3,858.1541672619048
116 St-Columbia University (1),4,814.8914827380954
116 St-Columbia University (1),5,565.6533857142858
116 St-Columbia University (1),6,562.1625404761905
116 St-Columbia University (1),7,624.1409547619047
116 St-Columbia University (1),8,574.3621488095239
116 St-Columbia University (1),9,996.641972023809
116 St-Columbia University (1),10,997.6120761904764
116 St-Columbia University (1),11,894.3852422619048
116 St-Columbia University (1),12,643.9568482142859
"121 St (J,Z)",1,95.74070595238096
"121 St (J,Z)",2,101.13626607142857
"121 St (J,Z)",3,105.13740357142856
"121 St (J,Z)",4,110.52903452380954
"121 St (J,Z)",5,101.95268630952384
"121 St (J,Z)",6,106.97771309523813
"121 St (J,Z)",7,95.31095297619049
"121 St (J,Z)",8,91.68507976190476
"121 St (J,Z)",9,124.0866
"121 St (J,Z)",10,124.13500833333339
"121 St (J,Z)",11,113.65908154761907
"121 St (J,Z)",12,106.00434642857138
125 St (1),1,389.4902571428571
125 St (1),2,448.0709125000001
125 St (1),3,475.33727261904755
125 St (1),4,476.70161309523803
125 St (1),5,455.652868452381
125 St (1),6,422.6831970238095
125 St (1),7,359.96404821428564
125 St (1),8,393.79489880952394
125 St (1),9,543.8229630952382
125 St (1),10,530.2360476190477
125 St (1),11,536.7089374999998
125 St (1),12,409.60234642857154
"125 St (2,3)",1,507.39448452380964
"125 St (2,3)",2,608.4354607142859
"125 St (2,3)",3,692.7290416666665
"125 St (2,3)",4,654.2799422619048
"125 St (2,3)",5,724.1584773809525
"125 St (2,3)",6,703.6424511904762
"125 St (2,3)",7,612.120861904762
"125 St (2,3)",8,624.0430898809526
"125 St (2,3)",9,713.6157446428574
"125 St (2,3)",10,796.9195041666667
"125 St (2,3)",11,810.4954392857146
"125 St (2,3)",12,718.5872351190474
"125 St (4,5,6)",1,1023.3198327380951
"125 St (4,5,6)",2,1035.9273428571428
"125 St (4,5,6)",3,1150.752289880952
"125 St (4,5,6)",4,1297.7256607142858
"125 St (4,5,6)",5,1305.124138690476
"125 St (4,5,6)",6,1260.2851916666668
"125 St (4,5,6)",7,1080.8140047619045
"125 St (4,5,6)",8,1085.6008601190474
"125 St (4,5,6)",9,1335.2102595238098
"125 St (4,5,6)",10,1381.2687583333332
"125 St (4,5,6)",11,1318.0541505952383
"125 St (4,5,6)",12,1203.1115708333332
"125 St (A,C,B,D)",1,1230.3554065476196
"125 St (A,C,B,D)",2,1282.292465476191
"125 St (A,C,B,D)",3,1349.2173422619042
"125 St (A,C,B,D)",4,1384.8047458333328
"125 St (A,C,B,D)",5,1392.2107190476192
"125 St (A,C,B,D)",6,1407.4051351190478
"125 St (A,C,B,D)",7,1168.089907738096
"125 St (A,C,B,D)",8,1226.657867261904
"125 St (A,C,B,D)",9,1497.6930732142857
"125 St (A,C,B,D)",10,1535.5828904761906
"125 St (A,C,B,D)",11,1262.2909785714285
"125 St (A,C,B,D)",12,1339.6076577380954
"135 St (2,3)",1,435.1097523809524
"135 St (2,3)",2,481.37723452380965
"135 St (2,3)",3,534.786482142857
"135 St (2,3)",4,500.3411119047619
"135 St (2,3)",5,523.5650255952382
"135 St (2,3)",6,491.93875
"135 St (2,3)",7,440.6229315476189
"135 St (2,3)",8,455.7161523809525
"135 St (2,3)",9,529.8625613095239
"135 St (2,3)",10,599.1600291666667
"135 St (2,3)",11,618.2627000000001
"135 St (2,3)",12,584.9309910714286
"135 St (C,B)",1,245.66018928571427
"135 St (C,B)",2,257.94876785714297
"135 St (C,B)",3,267.44456726190475
"135 St (C,B)",4,263.51322083333343
"135 St (C,B)",5,264.8346375
"135 St (C,B)",6,254.35154940476195
"135 St (C,B)",7,215.97060714285703
"135 St (C,B)",8,231.74989642857142
"135 St (C,B)",9,310.92855952380955
"135 St (C,B)",10,307.1382565476192
"135 St (C,B)",11,253.39926726190475
"135 St (C,B)",12,253.6348125
137 St-City College (1),1,514.5970732142855
137 St-City College (1),2,566.0309244047619
137 St-City College (1),3,637.4518791666667
137 St-City College (1),4,559.8507726190476
137 St-City College (1),5,546.0508375000004
137 St-City College (1),6,543.9396523809525
137 St-City College (1),7,522.441142857143
137 St-City College (1),8,520.4865529761903
137 St-City College (1),9,698.4741702380953
137 St-City College (1),10,680.3110113095238
137 St-City College (1),11,663.729431547619
137 St-City College (1),12,547.8422178571429
"138 St-Grand Concourse (4,5)",1,159.37135595238095
"138 St-Grand Concourse (4,5)",2,167.097919047619
"138 St-Grand Concourse (4,5)",3,181.05603273809518
"138 St-Grand Concourse (4,5)",4,183.49843690476195
"138 St-Grand Concourse (4,5)",5,188.3023523809524
"138 St-Grand Concourse (4,5)",6,183.44173333333327
"138 St-Grand Concourse (4,5)",7,151.05842142857142
"138 St-Grand Concourse (4,5)",8,159.73525535714282
"138 St-Grand Concourse (4,5)",9,194.66913571428574
"138 St-Grand Concourse (4,5)",10,216.59786071428573
"138 St-Grand Concourse (4,5)",11,215.00726309523805
"138 St-Grand Concourse (4,5)",12,205.5092803571428
"14 St (A,C,E)/8 Av (L)",1,2475.0442476190483
"14 St (A,C,E)/8 Av (L)",2,2576.177532738095
"14 St (A,C,E)/8 Av (L)",3,2758.727408928572
"14 St (A,C,E)/8 Av (L)",4,2791.792219642857
"14 St (A,C,E)/8 Av (L)",5,2906.1450738095245
"14 St (A,C,E)/8 Av (L)",6,2886.7367851190465
"14 St (A,C,E)/8 Av (L)",7,2432.122682142857
"14 St (A,C,E)/8 Av (L)",8,2453.3883636904766
"14 St (A,C,E)/8 Av (L)",9,2922.5786369047614
"14 St (A,C,E)/8 Av (L)",10,3113.462161309525
"14 St (A,C,E)/8 Av (L)",11,2734.5195011904757
